symbol,symbol_1,symbol_2,ranking_stat,avg_adf,avg_freq,volume,industry_1,industry_2,sector_1,sector_2
L-SRCL,L,SRCL,71.27870140877691,0.1562984111966941,7.0800000000000001,177809.0,Multi-Sector Holdings,Industrial Conglomerates,Financials,Industrials
CERN-EFX,CERN,EFX,71.2765316969519,0.25266523910162259,7.5599999999999996,204041.0,Health Care Distributors & Services,Diversified Financial Services,Health Care,Financials
CSC-NTRS,CSC,NTRS,71.2121224781979,0.19174828868932109,6.5199999999999996,512500.0,IT Consulting & Services,Diversified Financial Services,Information Technology,Financials
MTB-VAR,MTB,VAR,71.18722091765218,0.13868429140125355,6.7199999999999998,214599.0,Banks,Health Care Equipment & Services,Financials,Health Care
ACT-FRX,ACT,FRX,71.04253888268175,0.20069280377856447,7.4800000000000004,787483.0,Pharmaceuticals,Pharmaceuticals,Health Care,Health Care
BLK-CMG,BLK,CMG,70.99002561749404,0.24294336841623976,6.5999999999999996,124536.0,Diversified Financial Services,Restaurants,Financials,Consumer Discretionary
HRL-PSA,HRL,PSA,70.97052466260104,0.16424481090115922,7.4400000000000004,192258.0,Packaged Foods & Meats,REITs,Consumer Staples,Financials
CTAS-JWN,CTAS,JWN,70.88580407922414,0.11469934495386433,7.2400000000000002,288647.0,Diversified Commercial Services,Department Stores,Industrials,Consumer Discretionary
IFF-SRCL,IFF,SRCL,70.82441212346532,0.24070507381042472,7.04,164880.0,Specialty Chemicals,Industrial Conglomerates,Materials,Industrials
AIG-TMK,AIG,TMK,70.72222334402215,0.21114085278242301,7.5999999999999996,153397.0,Property & Casualty Insurance,Life & Health Insurance,Financials,Financials
MTB-TMK,MTB,TMK,70.57930439608299,0.22675103683631284,7.6399999999999997,153397.0,Banks,Life & Health Insurance,Financials,Financials
APH-GWW,APH,GWW,70.57651539045635,0.3075884748496131,7.6799999999999997,180537.0,Electrical Components & Equipment,Industrial Materials,Industrials,Industrials
ARG-SJM,ARG,SJM,70.56029502874324,0.20147891055728612,7.0,143916.0,Industrial Gases,Packaged Foods & Meats,Materials,Consumer Staples
COL-ROP,COL,ROP,70.54767405176669,0.14473575700829142,7.1200000000000001,143471.0,Industrial Conglomerates,Industrial Conglomerates,Industrials,Industrials
ROP-TMK,ROP,TMK,70.51805995426761,0.23270198203760159,7.7199999999999998,143471.0,Industrial Conglomerates,Life & Health Insurance,Industrials,Financials
APD-SRCL,APD,SRCL,70.50102626254007,0.29414401821315495,7.0800000000000001,177809.0,Industrial Gases,Industrial Conglomerates,Materials,Industrials
ROP-SNA,ROP,SNA,70.47993082739151,0.23082543328272589,7.5199999999999996,69926.0,Industrial Conglomerates,Household Appliances,Industrials,Consumer Discretionary
FITB-NTRS,FITB,NTRS,70.4297825507966,0.11883174557884145,6.6799999999999997,558797.0,Banks,Diversified Financial Services,Financials,Financials
VAR-WFC,VAR,WFC,70.31912996358962,0.1442552061156048,5.7999999999999998,214599.0,Health Care Equipment & Services,Banks,Health Care,Financials
TEG-VNO,TEG,VNO,70.30354029523667,0.21148724789890075,7.0,160270.0,Gas Utilities,REITs,Utilities,Financials
ARG-XRAY,ARG,XRAY,70.25705172972741,0.23324149378561601,6.7599999999999998,143916.0,Industrial Gases,Health Care Supplies,Materials,Health Care
FDX-LSI,FDX,LSI,70.20953566297976,0.1288527039491569,7.1600000000000001,1285287.0,Air Freight & Logistics,Semiconductors,Industrials,Information Technology
AON-BRCM,AON,BRCM,70.1608932952888,0.17183256177554854,6.5199999999999996,534983.0,Insurance Brokers,Semiconductors,Financials,Information Technology
AME-GWW,AME,GWW,70.13105378757821,0.18844896356753835,7.0,180537.0,Electrical Components and Equipment,Industrial Materials,Industrials,Industrials
MAR-SIAL,MAR,SIAL,70.12668331282485,0.15820045187926093,6.6399999999999997,249591.0,"Hotels, Resorts & Cruise Lines",Diversified Chemicals,Consumer Discretionary,Materials
GWW-RAI,GWW,RAI,70.11205948707604,0.32259839594523393,6.7199999999999998,180537.0,Industrial Materials,Tobacco,Industrials,Consumer Staples
