symbol,symbol_1,symbol_2,adf_stat,adf_p,industry_1,industry_2,sector_1,sector_2
NWSA-PXD,NWSA,PXD,-4.14929926598526,0.0008019273753552532,Publishing,Oil & Gas Exploration & Production,Consumer Discretionary,Energy
LMT-TIF,LMT,TIF,-4.147698498502451,0.0008068858131744375,Aerospace & Defense,"Apparel, Accessories & Luxury Goods",Industrials,Consumer Discretionary
FCX-LO,FCX,LO,-4.1474125404671485,0.0008077746012845556,Diversified Metals & Mining,Tobacco,Materials,Consumer Staples
MPC-NTAP,MPC,NTAP,-4.147151573273058,0.0008085865166332168,Oil & Gas Refining & Marketing & Transportation,Internet Software & Services,Energy,Information Technology
F-MMM,F,MMM,-4.14714633827517,0.0008086028114724133,Automobile Manufacturers,Industrial Conglomerates,Consumer Discretionary,Industrials
PG-RRC,PG,RRC,-4.146713402520232,0.0008099514657877195,Personal Products,Oil & Gas Exploration & Production,Consumer Staples,Energy
APH-KRFT,APH,KRFT,-4.146546179891973,0.0008104729519271634,Electrical Components & Equipment,Packaged Foods & Meats,Industrials,Consumer Staples
ADS-CVS,ADS,CVS,-4.14642693762741,0.0008108450029750855,Data Processing & Outsourced Services,Drug Retail,Information Technology,Consumer Staples
KEY-REGN,KEY,REGN,-4.14628904805381,0.0008112754357530916,Banks,Biotechnology,Financials,Health Care
CMI-EOG,CMI,EOG,-4.145854353444499,0.0008126337713250741,Industrial Machinery,Oil & Gas Exploration & Production,Industrials,Energy
DAL-SHW,DAL,SHW,-4.145599019746301,0.0008134326334384112,Airlines,Specialty Chemicals,Industrials,Materials
CSC-RSG,CSC,RSG,-4.145370712639294,0.0008141475612636263,IT Consulting & Services,Industrial Conglomerates,Information Technology,Industrials
KORS-PBI,KORS,PBI,-4.14497492062091,0.0008153883531957449,"Apparel, Accessories & Luxury Goods",Data Processing Services,Consumer Discretionary,Industrials
LO-PCLN,LO,PCLN,-4.144368127473672,0.0008172940698377816,Tobacco,"Hotels, Resorts & Cruise Lines",Consumer Staples,Consumer Discretionary
HOT-MWV,HOT,MWV,-4.144160992832404,0.0008179455603325918,"Hotels, Resorts & Cruise Lines",Paper Packaging,Consumer Discretionary,Materials
ADT-KORS,ADT,KORS,-4.1431706389514735,0.0008210672097318275,Diversified Commercial Services,"Apparel, Accessories & Luxury Goods",Industrials,Consumer Discretionary
CTAS-HON,CTAS,HON,-4.142996995104163,0.0008216156946435346,Diversified Commercial Services,Industrial Conglomerates,Industrials,Industrials
CL-RRC,CL,RRC,-4.142589815070805,0.0008229031930461763,Household Products,Oil & Gas Exploration & Production,Consumer Staples,Energy
CSC-QEP,CSC,QEP,-4.142509839049586,0.0008231562985006403,IT Consulting & Services,Oil & Gas Exploration & Production,Information Technology,Energy
